host_id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
510257,"Barcelona, Spain",within an hour,93%,50%,f,1,2,t,t,42.12237,2.93773,Entire cottage,Entire home/apt,10,4,5,9,235,5,14,5,5,14,14,5,14,t,10,39,69,344,11,0,0,4,4,4,5,5,4,4,f,1,1,0,0,0
4603241,"Sitges, Spain",within an hour,100%,100%,t,2,4,t,t,42.42072,1.8804,Entire rental unit,Entire home/apt,7,2,4,6,185,2,1125,2,2,1125,1125,2,1125,t,14,32,55,169,86,4,1,5,5,5,5,5,5,5,f,1,1,0,0,1
5233731,"Ripoll, Spain",within an hour,93%,89%,f,1,1,t,t,42.22258,2.26328,Entire rental unit,Entire home/apt,6,1,3,4,267,1,30,1,5,30,30,2,30,t,21,42,70,341,22,0,0,4,4,5,5,5,5,4,t,1,1,0,0,0
5261900,"CadaquÃ©s, Spain",within a few hours,90%,87%,t,6,7,t,t,42.29068,3.27756,Entire home,Entire home/apt,8,3,4,6,343,6,1125,4,6,1125,1125,5,1125,t,27,57,87,330,15,1,0,5,5,5,5,5,5,4,f,6,6,0,0,0
4208003,"Albons, Spain",within an hour,100%,94%,t,31,75,t,t,42.12486,3.12689,Entire home,Entire home/apt,6,2,3,5,132,1,365,7,7,999,999,7,999,t,0,0,0,184,5,1,0,5,5,5,5,5,5,4,t,29,29,0,0,0
4208003,"Albons, Spain",within an hour,100%,94%,t,31,75,t,t,42.10941,3.1707,Entire home,Entire home/apt,6,0,3,4,180,1,365,7,7,999,999,7,999,t,0,0,0,164,35,4,0,5,5,5,5,5,5,5,t,29,29,0,0,0
5280654,"CastellÃ³ d'EmpÃºries, Spain",within a few hours,100%,83%,t,17,19,t,t,42.24275,3.12647,Entire home,Entire home/apt,4,1,2,4,100,3,28,1,3,28,28,3,28,t,26,56,86,270,44,6,0,5,5,5,5,5,5,4,f,17,17,0,0,0
5401842,"Barcelona, Spain",within an hour,93%,89%,f,1,1,t,t,41.92136,3.21362,Entire home,Entire home/apt,6,2,3,0,360,14,60,14,14,60,60,14,60,t,0,0,0,0,0,0,0,5,5,5,5,5,5,4,f,1,1,0,0,1
5399385,"Catalunya, Spain",within an hour,100%,100%,t,4,4,t,t,42.24354,2.58316,Entire loft,Entire home/apt,16,4,4,9,429,2,30,2,4,30,30,2,30,t,0,27,57,57,7,0,0,5,5,5,5,5,5,5,f,4,4,0,0,0
1989406,"Begur, Spain",within an hour,93%,95%,t,3,3,t,t,41.95527,3.20726,Private room in home,Private room,2,2,1,1,70,2,30,2,2,30,30,2,30,t,0,0,0,118,265,21,0,5,5,5,5,5,5,5,f,3,0,3,0,2
